Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,534,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.5802643,0.5912268,0.6126412,0.6152776,0.633204,0.6347344,0.6453606,0.6416078,0.6223563,0.6349916,0.6158656,0.5953614,0.4651778,0.4954425,0.521797,0.5102745,0.5229531,0.5084838,0.4895549,0.4537511,0.5021984,0.5185092,0.5211369,0.5223581,0.531697,0.537621,0.5415707,0.5376947,0.5450058,0.5409263,0.5521843,0.5614665,0.5592957,0.5499355,0.5470233
India,534,Financial Markets Depth Index,FD_FMD_IX,Value,0.04187,0.0432693,0.046397,0.046787,0.0498972,0.0502384,0.052854,0.0519615,0.0483027,0.055979,0.0720838,0.0954732,0.104004,0.1443567,0.156095,0.1329214,0.1960099,0.2575507,0.2168219,0.3883174,0.3679875,0.2586019,0.2562094,0.391336,0.4091681,0.4520502,0.5347231,0.6008096,0.4037514,0.5907467,0.6374062,0.4168511,0.5046663,0.5148497,0.5233034
India,534,Financial Markets Efficiency Index,FD_FME_IX,Value,0.5013868,0.5181423,0.5555966,0.5602669,0.5975112,0.6015968,0.6329183,0.6222303,0.5784173,0.670339,0.6536241,0.5271497,0.360727,0.2624197,0.2380532,0.1691241,0.7564427,1,1,1,1,1,1,1,1,0.9062483,0.9145837,0.8250962,0.8370572,1,0.7430398,0.5528272,0.5368449,0.5368449,0.5368449
Indonesia,536,Financial Development Index,FD_FD_IX,Value,0.0603505,0.0665474,0.0874747,0.0919636,0.1060401,0.1203702,0.1362711,0.1674934,0.1921919,0.2211886,0.2882416,0.2328767,0.2491499,0.2628777,0.2599238,0.2573431,0.3247221,0.3471737,0.3485405,0.3237547,0.2797362,0.2944076,0.31196,0.2901019,0.3055569,0.3200493,0.3143929,0.3538502,0.3437799,0.3811386,0.3189439,0.3100483,0.3113331,0.3218457,0.3378757
Indonesia,536,Financial Institutions Index,FD_FI_IX,Value,0.0536492,0.05894,0.0795334,0.083808,0.0959831,0.1099449,0.125824,0.1552457,0.1772848,0.2331462,0.2470436,0.268507,0.2527478,0.2645248,0.2915285,0.2906015,0.3170165,0.2605445,0.2728168,0.2224895,0.2475974,0.2656665,0.2685088,0.2632729,0.2607451,0.2626962,0.2726551,0.2712154,0.2791604,0.2838481,0.2823534,0.3004133,0.3514202,0.3699722,0.390013
Indonesia,536,Financial Markets Index,FD_FM_IX,Value,0.0663464,0.073377,0.0943934,0.0990441,0.1148575,0.1293884,0.1451253,0.1777832,0.2048523,0.2066453,0.3260701,0.194524,0.2426394,0.2581576,0.2252807,0.2210765,0.3286316,0.4297444,0.4201898,0.4212352,0.308605,0.3197071,0.3517644,0.3135397,0.3467969,0.3736612,0.3524556,0.4323486,0.4043806,0.4739736,0.3518061,0.316059,0.2676068,0.2699568,0.2817887
Indonesia,536,Financial Institutions Access Index,FD_FIA_IX,Value,0.0172473,0.019075,0.0245384,0.0257474,0.0298583,0.0336357,0.0377267,0.0462164,0.0532532,0.0791049,0.0862428,0.099217,0.0919305,0.0953402,0.1090882,0.1108101,0.1166224,0.1138954,0.1096245,0.1072858,0.1076382,0.1122026,0.1082226,0.1032002,0.1000673,0.1051581,0.1164508,0.1245328,0.1400065,0.1569854,0.1566135,0.1787534,0.2870442,0.3255538,0.3681069
Indonesia,536,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.1282294,0.1403417,0.19443,0.2053419,0.2336143,0.2699762,0.3121945,0.3984785,0.4496764,0.5867666,0.563589,0.6269093,0.5813053,0.603159,0.6600447,0.6443616,0.7265988,0.4986897,0.5804409,0.5170186,0.6161432,0.6734823,0.6782135,0.6576785,0.6358374,0.6365954,0.6569203,0.6254526,0.6370569,0.6314332,0.6265195,0.6472633,0.6558103,0.6733266,0.6798169
Indonesia,536,Financial Markets Depth Index,FD_FMD_IX,Value,0.0141677,0.015669,0.0201569,0.02115,0.0245269,0.0276298,0.0309903,0.0379641,0.0437445,0.048619,0.0776703,0.0551258,0.0916262,0.1409667,0.1534142,0.1730441,0.2513883,0.2059551,0.3733262,0.3588672,0.1907408,0.1639866,0.1401318,0.157995,0.1810475,0.1842353,0.2057869,0.2835747,0.1409021,0.2448461,0.2615309,0.2292572,0.2113972,0.220068,0.2333332
Indonesia,536,Financial Markets Efficiency Index,FD_FME_IX,Value,0.1375705,0.1521486,0.1957265,0.2053699,0.2381594,0.2682894,0.3009201,0.3686369,0.4247653,0.4247653,0.7594563,0.3853953,0.4075599,0.3999453,0.2891725,0.24876,0.4007989,0.7023024,0.4072019,0.4538142,0.3093191,0.3811729,0.4836152,0.3429981,0.4234589,0.5323493,0.4355732,0.6326041,0.700609,0.8182272,0.472703,0.3655994,0.2289827,0.2289827,0.2289827
Bangladesh,513,Financial Markets Depth Index,FD_FMD_IX,Value,0.0033057,0.0037412,0.0040188,0.0046702,0.0055413,0.0061836,0.0061269,0.0048267,0.0050085,0.0052954,0.0034719,0.0029764,0.0034382,0.004769,0.0106231,0.0118693,0.0349369,0.0107714,0.01116,0.0106471,0.0129642,0.011523,0.0112209,0.0101258,0.0206338,0.0170544,0.0212045,0.0525447,0.0570767,0.0744238,0.1024427,0.111651,0.0670337,0.067568,0.0680843
Bangladesh,513,Financial Markets Efficiency Index,FD_FME_IX,Value,0.0067704,0.0076624,0.0082311,0.0095652,0.0113493,0.0126648,0.0125487,0.0098857,0.010258,0.0108456,0.0147947,0.0099927,0.0370797,0.0384334,0.1399063,0.1300275,0.2409396,0.1242792,0.6030974,0.8158251,0.7353336,0.6249485,0.5595895,0.2284236,0.3542786,0.3095015,0.2788363,0.9068497,1,1,1,0.9096577,0.6011266,0.6011266,0.6011266
